Order_ID,Customer_ID,Customer_Name,Age,Gender,Email,Phone,City,State,Product_Category,Order_Date,Delivery_Date,Order_Amount,Payment_Status,Source_System,Last_Updated,Data_Quality_Issue,Issue_Description
ORD00001,CUST0433,Arjun Sharma,65,Female,arjun.sharma1@example.com,9002657744,Delhi,Delhi,Tablet,2025-03-13,2025-03-15,39999,Paid,Mobile App,2025-03-19 00:00,Clean,No intentional issue
ORD00002,CUST0390,Aarav Das,28,Female,aarav.das2@example.com,0000000000,Chennai,Tamil Nadu,Monitor,2025-03-21,2025-03-25,4999,Paid,Mobile App,2025-03-25 00:00,Believability,Phone number is not plausible
ORD00003,CUST0374,Vivaan Mehta,32,Female,vivaan.mehta3@example.com,9136760652,Mumbai,Maharashtra,Tablet,2025-02-21,2025-02-28,2499,Refunded,Call Center,2024-12-01 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00002,CUST0390,Aarav Das,28,Female,aarav.das2@example.com,0000000000,Chennai,Tamil Nadu,Monitor,2025-03-21,2025-03-25,4999,Paid,Mobile App,2025-03-25 00:00,Uniqueness,Duplicate record intentionally added
ORD00005,CUST0643,Riya Kumar,41,Male,riya.kumar5@example.com,9165354259,Bengaluru,Karnataka,Router,10/09/25,2025-09-12,499,Paid,CRM,2025-09-13 00:00,Interpretability,Date format is ambiguous
ORD00006,CUST0737,Kiran Das,59,Female,kiran.das6@example.com,0000000000,Mumbai,Maharashtra,Monitor,2025-08-11,2025-08-14,9999,Paid,Website,2025-08-19 00:00,Believability,Phone number is not plausible
ORD00007,CUST0081,Divya Singh,49,Male,divya.singh7@example.com,9040771452,Mumbai,Maharashtra,Keyboard,2025-06-07,2025-06-11,499,Pending,Call Center,2025-06-15 00:00,Clean,No intentional issue
ORD00008,CUST0254,Isha Das,,Male,isha.das8@example.com,9235220629,Pune,Maharashtra,Mouse,2025-07-11,2025-07-19,14999,Refunded,Mobile App,2025-07-19 00:00,Completeness,Missing value in Age
ORD00002,CUST0390,Aarav Das,28,Female,aarav.das2@example.com,0000000000,Chennai,Tamil Nadu,Monitor,2025-03-21,2025-03-25,4999,Paid,Mobile App,2025-03-25 00:00,Uniqueness,Duplicate record intentionally added
ORD00010,CUST0454,Rohan Rao,30,Female,rohan.rao10@example.com,9880650072,Bengaluru,Karnataka,Mouse,2025-04-04,2025-04-09,-999,Pending,Call Center,2025-04-09 00:00,Believability,Negative order amount is not believable for a normal sale
ORD00011,CUST0195,Vivaan Reddy,42,Male,vivaan.reddy11@example.com,9295570558,Kolkata,West Bengal,Monitor,,2025-08-26,7999,Refunded,Website,2025-08-27 00:00,Completeness,Missing value in Order_Date
ORD00012,CUST0609,Aditya Chopra,29,Male,aditya.chopra12@example.com,9006532632,Lucknow,Uttar Pradesh,MOB,2025-05-01,2025-05-08,799,Pending,Website,2025-05-12 00:00,Interpretability,Product category is stored as unexplained code
ORD00013,CUST0272,Meera Singh,22,Male,meera.singh13@example.com,9130224539,Ahmedabad,Gujarat,Smartwatch,16/10/25,2025-10-18,799,Pending,CRM,2025-10-22 00:00,Interpretability,Date format is ambiguous
ORD00014,CUST0289,Nikhil Malhotra,60,Male,nikhil.malhotra14@example.com,9672624980,Bengaluru,Karnataka,Monitor,2025-03-01,2025-03-03,59999,Pending,Call Center,2025-03-05 00:00,Clean,No intentional issue
ORD00015,CUST0010,Vivaan Sharma,39,Male,vivaan.sharma15@example.com,9196103540,Pune,Maharashtra,Headphones,2025-08-15,2025-08-24,59999,Refunded,Mobile App,2025-08-28 00:00,Clean,No intentional issue
ORD00016,CUST0167,Vivaan Malhotra,40,Male,vivaan.malhotra16@example.com,9988073988,delhi,Delhi,Mobile,2025-07-01,2025-07-10,7999,Pending,Website,2025-07-11 00:00,Consistency,"City uses inconsistent spelling, abbreviation, or case"
ORD00017,CUST0025,Arjun Kumar,20,Female,arjun.kumar17@example.com,9632073568,Delhi,Delhi,Tablet,2025-08-24,2025-08-30,2499,Pending,Mobile App,2025-08-31 00:00,Clean,No intentional issue
ORD00018,CUST0747,Arjun Malhotra,34,Male,arjun.malhotra18@example.com,9749181045,Lucknow,Uttar Pradesh,Monitor,2026-12-08,2026-12-13,24999,Refunded,Website,2025-01-24 00:00,Timeliness,Order date is in the future
ORD00019,CUST0303,Priya Nair,38,Male,priya.nair19@example.com,9516371548,Pune,Maharashtra,Router,2025-06-08,2025-06-15,4999,payment_done,Mobile App,2025-06-20 00:00,Consistency,Payment status uses inconsistent label or case
ORD00020,CUST0174,Riya Nair,,Female,riya.nair20@example.com,9626609238,Ahmedabad,Gujarat,Printer,2025-08-15,2025-08-19,14999,Refunded,Website,2025-08-24 00:00,Completeness,Missing value in Age
ORD00021,CUST0152,Pooja Nair,22,Female,pooja.nair21@example.com,9607714195,Kolkata,West Bengal,Smartwatch,2025-04-10,2025-04-17,-999,Refunded,CRM,2025-04-18 00:00,Believability,Negative order amount is not believable for a normal sale
ORD00022,CUST0762,Sai Das,47,Female,sai.das22@example.com,9847827424,Ahmedabad,Gujarat,Smartwatch,2025-09-16,2025-09-23,1,Refunded,Mobile App,2025-09-24 00:00,Accuracy,Order amount is inaccurate or far outside expected range
ORD00023,CUST0339,Isha Verma,26,Male,isha.verma23@example.com,9542495687,Delhi,Delhi,Mouse,2025-03-20,2025-03-24,799,Refunded,Call Center,2025-02-09 00:00,Timeliness,Last updated timestamp is earlier than order date
ORD00024,CUST0345,Sneha Chopra,44,Male,sneha.chopra24@example.com,9677899595,,Gujarat,Tablet,2025-05-20,2025-05-27,9999,Paid,CRM,2025-05-30 00:00,Completeness,Missing value in City
